,證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),成交筆數(筆),流通在外股數(千股),本益比-TSE,股價淨值比-TSE,單日漲跌幅(%),label
0,2615 萬海,2019-01-02,14.894,14.894,14.5671,14.6138,348,5480,272,2218297,24.45,1.02,,跌
1,2615 萬海,2019-01-03,14.7539,14.7539,14.5671,14.6138,159,2495,135,2218297,24.45,1.02,0.0,跌
2,2615 萬海,2019-01-04,14.6138,14.7072,14.4271,14.6138,313,4882,174,2218297,24.45,1.02,0.0,跌
3,2615 萬海,2019-01-07,14.7072,14.7072,14.6138,14.6605,148,2329,67,2218297,24.53,1.02,0.003195609629254629,漲
4,2615 萬海,2019-01-08,14.6605,14.7539,14.5671,14.6605,239,3743,181,2218297,24.53,1.02,0.0,跌
5,2615 萬海,2019-01-09,14.7072,14.9406,14.6605,14.8473,563,8936,430,2218297,24.84,1.04,0.012741720950854326,漲
6,2615 萬海,2019-01-10,14.8473,14.8473,14.7072,14.7072,349,5512,178,2218297,24.61,1.03,-0.009436059081449174,跌
7,2615 萬海,2019-01-11,14.8006,14.8473,14.6605,14.7539,380,5998,185,2218297,24.69,1.03,0.003175315491731908,漲
8,2615 萬海,2019-01-14,14.7539,14.7539,14.5671,14.6138,268,4205,185,2218297,24.45,1.02,-0.009495794332346047,跌
9,2615 萬海,2019-01-15,14.7072,14.7072,14.6138,14.6605,185,2907,121,2218297,24.53,1.02,0.003195609629254629,漲
10,2615 萬海,2019-01-16,14.6605,14.7072,14.5671,14.5671,425,6661,260,2218297,24.38,1.02,-0.0063708604754272235,跌
11,2615 萬海,2019-01-17,14.5671,14.6138,14.5204,14.5671,270,4215,181,2218297,24.38,1.02,0.0,跌
12,2615 萬海,2019-01-18,14.5671,14.7072,14.5204,14.6138,115,1804,50,2218297,24.45,1.02,0.0032058542880875067,漲
13,2615 萬海,2019-01-21,14.5671,14.7072,14.5671,14.6138,267,4189,113,2218297,24.45,1.02,0.0,跌
14,2615 萬海,2019-01-22,14.6138,14.8006,14.6138,14.7072,251,3963,141,2218297,24.61,1.03,0.006391219258509137,漲
15,2615 萬海,2019-01-23,14.7072,14.8473,14.7072,14.7072,829,13098,234,2218297,24.61,1.03,0.0,跌
16,2615 萬海,2019-01-24,14.6605,14.8006,14.6605,14.8006,324,5127,124,2218297,24.77,1.03,0.006350630983463816,漲
17,2615 萬海,2019-01-25,14.8006,14.8006,14.7072,14.8006,452,7151,174,2218297,24.77,1.03,0.0,跌
18,2615 萬海,2019-01-28,14.8006,14.894,14.8006,14.894,350,5576,126,2218297,24.92,1.04,0.006310554977500968,漲
19,2615 萬海,2019-01-29,14.9406,14.9406,14.6605,14.8006,588,9333,225,2218297,24.77,1.03,-0.006270981603330255,跌
20,2615 萬海,2019-01-30,14.8006,14.8006,14.7072,14.7072,634,10024,318,2218297,24.61,1.03,-0.006310554977500847,跌
21,2615 萬海,2019-02-11,14.7072,14.8473,14.6605,14.8473,584,9234,286,2218297,24.84,1.04,0.009525946475195845,漲
22,2615 萬海,2019-02-12,14.894,14.9873,14.8006,14.894,526,8397,218,2218297,24.92,1.04,0.003145353027149685,漲
23,2615 萬海,2019-02-13,14.894,14.9873,14.894,14.9873,572,9155,177,2218297,25.08,1.05,0.0062642674902644874,漲
24,2615 萬海,2019-02-14,14.9873,15.034,14.8473,15.034,1607,25775,251,2218297,25.16,1.05,0.0031159715225558505,漲
25,2615 萬海,2019-02-15,15.034,15.0807,14.9873,15.034,494,7955,145,2218297,25.16,1.05,0.0,跌
26,2615 萬海,2019-02-18,15.0807,15.1741,14.9873,15.1274,1045,16896,332,2218297,25.3125,1.06,0.0062125848077689925,漲
27,2615 萬海,2019-02-19,15.1741,15.2208,15.0807,15.1741,370,6016,218,2218297,25.39,1.06,0.003087113449766617,漲
28,2615 萬海,2019-02-20,15.1741,15.2675,15.1274,15.2208,555,9031,379,2218297,25.47,1.06,0.0030776125107914998,漲
29,2615 萬海,2019-02-21,15.2675,15.3608,15.1274,15.3142,981,16047,481,2218297,25.625,1.07,0.006136339745611206,漲
30,2615 萬海,2019-02-22,15.3142,15.3142,15.1741,15.1741,323,5272,169,2218297,25.3906,1.06,-0.009148372099097591,跌
31,2615 萬海,2019-02-25,15.1741,15.1741,15.034,15.1274,894,14481,443,2218297,25.3125,1.06,-0.0030776125107913827,跌
32,2615 萬海,2019-02-26,15.1274,15.2675,15.1274,15.1741,247,4023,134,2218297,25.39,1.06,0.003087113449766617,漲
33,2615 萬海,2019-02-27,15.034,15.0807,14.894,14.894,1384,22179,446,2218297,24.9219,1.04,-0.01845908488806579,跌
34,2615 萬海,2019-03-04,14.894,15.034,14.894,14.9873,412,6590,142,2218297,25.0781,1.05,0.0062642674902644874,漲
35,2615 萬海,2019-03-05,14.9873,15.034,14.894,14.9406,256,4117,154,2218297,25,1.04,-0.003115971522555732,跌
36,2615 萬海,2019-03-06,14.9406,15.034,14.9406,15.034,479,7687,298,2218297,25.1563,1.05,0.006251422298970645,漲
37,2615 萬海,2019-03-07,14.9406,15.1741,14.9406,15.034,367,5922,172,2218297,25.1563,1.05,0.0,跌
38,2615 萬海,2019-03-08,15.034,15.1274,14.9873,15.1274,191,3094,118,2218297,25.31,1.06,0.0062125848077689925,漲
39,2615 萬海,2019-03-11,15.1274,15.1741,14.9873,14.9873,144,2321,107,2218297,25.0781,1.05,-0.009261340349299967,跌
40,2615 萬海,2019-03-12,14.9873,15.0807,14.9873,15.034,266,4292,104,2218297,25.1563,1.05,0.0031159715225558505,漲
41,2615 萬海,2019-03-13,15.034,15.034,14.894,14.894,362,5798,139,2218297,24.9219,1.04,-0.009312225621923678,跌
42,2615 萬海,2019-03-14,14.894,14.9873,14.894,14.9406,222,3552,105,2218297,25,1.04,0.0031287766885994195,漲
43,2615 萬海,2019-03-15,14.9406,14.9873,14.894,14.9873,580,9299,257,2218297,25.08,1.05,0.003125711149485263,漲
44,2615 萬海,2019-03-18,15.034,15.0807,14.894,15.034,322,5180,155,2218297,25.16,1.05,0.0031159715225558505,漲
45,2615 萬海,2019-03-19,15.034,15.0807,14.894,14.9406,569,9129,230,2218297,25,1.04,-0.0062125848077691104,跌
46,2615 萬海,2019-03-20,15.0807,15.1741,14.9873,15.1274,623,10061,356,2218297,25.31,1.06,0.012502844597941171,漲
47,2615 萬海,2019-03-21,15.1274,15.1274,14.9873,14.9873,362,5827,186,2218297,25.08,1.05,-0.009261340349299967,跌
48,2615 萬海,2019-03-22,14.9873,15.0807,14.9406,14.9873,366,5896,147,2218297,25.08,1.05,0.0,跌
49,2615 萬海,2019-03-25,14.9873,15.034,14.9406,14.9873,413,6622,163,2218297,25.08,1.05,0.0,跌
50,2615 萬海,2019-03-26,14.9873,15.0807,14.9406,15.0807,265,4260,141,2218297,25.23,1.05,0.006231943045111582,漲
51,2615 萬海,2019-03-27,15.0807,15.1274,15.034,15.1274,549,8866,373,2218297,25.31,1.06,0.0030966732313486454,漲
52,2615 萬海,2019-03-28,15.1274,15.1274,14.9406,14.9873,512,8249,259,2218297,25.08,1.05,-0.009261340349299967,跌
53,2615 萬海,2019-03-29,14.9873,15.1274,14.9873,14.9873,846,13656,322,2218297,32.1,1.03,0.0,跌
54,2615 萬海,2019-04-01,14.9873,15.034,14.894,14.9406,732,11720,262,2218297,32,1.03,-0.003115971522555732,跌
55,2615 萬海,2019-04-02,14.9873,14.9873,14.8473,14.894,906,14470,505,2218297,31.9,1.02,-0.0031190179778589717,跌
56,2615 萬海,2019-04-03,15.034,15.0807,14.894,15.0807,1125,18034,387,2218297,32.3,1.04,0.012535249093594741,漲
57,2615 萬海,2019-04-08,15.0807,15.1274,14.9406,15.0807,1072,17255,363,2218297,32.3,1.04,0.0,跌
58,2615 萬海,2019-04-09,15.0807,15.0807,14.894,14.9406,1203,19273,375,2218297,32,1.03,-0.009290019694046055,跌
59,2615 萬海,2019-04-10,14.9873,15.1274,14.8473,15.1274,926,14844,462,2218297,32.4,1.04,0.012502844597941171,漲
60,2615 萬海,2019-04-11,15.1274,15.2208,15.034,15.1741,805,13056,343,2218297,32.5,1.04,0.003087113449766617,漲
61,2615 萬海,2019-04-12,15.2208,15.2208,14.9873,15.0807,515,8321,215,2218297,32.3,1.04,-0.006155225021582765,跌
62,2615 萬海,2019-04-15,15.1274,15.1741,15.034,15.1274,490,7934,180,2218297,32.4,1.04,0.0030966732313486454,漲
63,2615 萬海,2019-04-16,15.1274,15.1274,14.9873,15.0807,418,6752,216,2218297,32.3,1.04,-0.003087113449766617,跌
64,2615 萬海,2019-04-17,15.0807,15.1741,14.9406,15.034,778,12552,525,2218297,32.2,1.03,-0.0030966732313486454,跌
65,2615 萬海,2019-04-18,15.0807,15.1274,14.9873,15.034,1090,17570,368,2218297,32.2,1.03,0.0,跌
66,2615 萬海,2019-04-19,15.0807,15.1274,15.034,15.034,483,7800,224,2218297,32.2,1.03,0.0,跌
67,2615 萬海,2019-04-22,15.034,15.5009,15.034,15.4542,2515,41363,916,2218297,33.1,1.06,0.027949980045230773,漲
68,2615 萬海,2019-04-23,15.5009,15.5009,15.2675,15.3608,878,14460,346,2218297,32.9,1.06,-0.006043664505441939,跌
69,2615 萬海,2019-04-24,15.3608,15.4075,15.2208,15.2675,704,11536,344,2218297,32.7,1.05,-0.006073902400916572,跌
70,2615 萬海,2019-04-25,15.2675,15.3608,15.1741,15.1741,660,10774,253,2218297,32.5,1.04,-0.006117570001637518,跌
71,2615 萬海,2019-04-26,15.1741,15.2208,15.1274,15.2208,519,8432,244,2218297,32.6,1.05,0.0030776125107914998,漲
72,2615 萬海,2019-04-29,15.1741,15.2675,15.1741,15.1741,409,6676,166,2218297,32.5,1.04,-0.0030681698728057196,跌
73,2615 萬海,2019-04-30,15.1741,15.2675,15.1741,15.2208,560,9131,206,2218297,32.6,1.05,0.0030776125107914998,漲
74,2615 萬海,2019-05-02,15.2208,15.4542,15.2208,15.4075,781,12861,406,2218297,33,1.06,0.01226610953432146,漲
75,2615 萬海,2019-05-03,15.4075,15.641,15.4075,15.4542,1757,29288,676,2218297,33.1,1.06,0.003030991400292034,漲
76,2615 萬海,2019-05-06,15.4542,15.5009,15.2208,15.2675,1191,19513,461,2218297,32.7,1.05,-0.012080858278008573,跌
77,2615 萬海,2019-05-07,15.2675,15.4075,15.2675,15.3608,329,5409,201,2218297,32.9,1.06,0.00611102014082196,漲
78,2615 萬海,2019-05-08,15.2208,15.3608,15.1274,15.3142,611,9970,344,2218297,32.8,1.05,-0.003033696161658231,跌
79,2615 萬海,2019-05-09,15.3142,15.3142,15.0807,15.1741,537,8736,278,2218297,32.5,1.04,-0.009148372099097591,跌
80,2615 萬海,2019-05-10,15.1741,15.3142,15.034,15.2675,615,10000,268,2218297,32.7,1.05,0.0061552250215828825,漲
81,2615 萬海,2019-05-13,15.3608,15.5009,15.3142,15.4075,1206,19932,555,2218297,18.13,1.02,0.009169805141640777,漲
82,2615 萬海,2019-05-14,15.2675,15.5943,15.1274,15.5943,1177,19420,684,2218297,18.35,1.03,0.012123965601168253,漲
83,2615 萬海,2019-05-15,15.5943,15.8277,15.5943,15.7344,2087,35187,851,2218297,18.52,1.04,0.008984051865104578,漲
84,2615 萬海,2019-05-16,15.7344,16.1079,15.5943,15.9211,2487,42261,761,2218297,18.74,1.06,0.011865720968069853,漲
85,2615 萬海,2019-05-17,16.0145,16.0612,15.7344,15.8277,1580,26903,709,2218297,18.63,1.05,-0.005866428827153843,跌
86,2615 萬海,2019-05-20,15.8744,16.0612,15.8277,15.9678,1402,24030,628,2218297,18.79,1.06,0.00885157034818706,漲
87,2615 萬海,2019-05-21,16.1079,16.388,16.0612,16.388,2934,51015,1042,2218297,19.29,1.09,0.026315459862974313,漲
88,2615 萬海,2019-05-22,16.4347,16.4814,16.2013,16.3413,1603,28017,659,2218297,19.23,1.08,-0.0028496460824994686,跌
89,2615 萬海,2019-05-23,16.3413,16.4814,16.2479,16.4347,1659,29055,787,2218297,19.34,1.09,0.005715579543855081,漲
90,2615 萬海,2019-05-24,16.4347,16.7148,16.4347,16.7148,2184,38865,1003,2218297,19.67,1.11,0.01704320736003705,漲
91,2615 萬海,2019-05-27,16.7615,16.995,16.6215,16.8549,3984,71802,1705,2218297,19.84,1.12,0.00838179338071651,漲
92,2615 萬海,2019-05-28,16.995,16.995,16.7615,16.995,2598,47046,948,2218297,20,1.13,0.00831212288414647,漲
93,2615 萬海,2019-05-29,16.9483,17.2751,16.9016,17.2751,4395,80835,2345,2218297,20.33,1.15,0.016481318034715937,漲
94,2615 萬海,2019-05-30,17.3685,17.742,17.3685,17.6019,3852,72522,1521,2218297,20.71,1.17,0.01891740134644675,漲
95,2615 萬海,2019-05-31,17.6486,17.6486,17.0417,17.6019,3988,74190,1917,2218297,20.71,1.17,0.0,跌
96,2615 萬海,2019-06-03,17.4619,17.4619,16.5281,16.6682,6109,110312,2775,2218297,19.62,1.11,-0.05304540987052544,跌
