,證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),成交筆數(筆),流通在外股數(千股),本益比-TSE,股價淨值比-TSE,單日漲跌幅(%),label
0,2603 長榮,2019-01-02,11.937,11.937,11.7389,11.7884,5111,61006,1474,4512973,0,0.8,,跌
1,2603 長榮,2019-01-03,11.7884,11.8875,11.6894,11.7389,5048,60110,1513,4512973,0,0.8,-0.004199043127141945,跌
2,2603 長榮,2019-01-04,11.6894,11.6894,11.2931,11.4912,12347,143206,3365,4512973,0,0.78,-0.021100784570956398,跌
3,2603 長榮,2019-01-07,11.6894,11.838,11.5903,11.838,7842,92690,2848,4512973,0,0.8,0.030179615705931497,漲
4,2603 長榮,2019-01-08,11.838,11.8875,11.7389,11.7389,4366,52066,1300,4512973,0,0.8,-0.008371346511235004,跌
5,2603 長榮,2019-01-09,11.838,11.9866,11.838,11.937,9384,113058,2809,4512973,0,0.81,0.01687551644532283,漲
6,2603 長榮,2019-01-10,11.937,11.937,11.7884,11.8875,3006,35976,1094,4512973,0,0.81,-0.004146770545363165,跌
7,2603 長榮,2019-01-11,12.0361,12.0856,11.7884,11.838,6565,78927,1610,4512973,0,0.8,-0.004164037854889598,跌
8,2603 長榮,2019-01-14,11.838,11.8875,11.6398,11.6398,5778,68364,1745,4512973,0,0.79,-0.016742693022470008,跌
9,2603 長榮,2019-01-15,11.7389,11.9866,11.6894,11.9866,8569,102807,1974,4512973,0,0.81,0.029794326362995928,漲
10,2603 長榮,2019-01-16,11.9866,11.9866,11.838,11.8875,6148,74032,1659,4512973,0,0.81,-0.008267565448083691,跌
11,2603 長榮,2019-01-17,11.8875,11.937,11.7884,11.8875,4410,52828,978,4512973,0,0.81,0.0,跌
12,2603 長榮,2019-01-18,11.937,12.0361,11.8875,11.937,3535,42666,997,4512973,0,0.81,0.004164037854889598,漲
13,2603 長榮,2019-01-21,12.0361,12.0361,11.937,11.937,4396,53202,1139,4512973,0,0.81,0.0,跌
14,2603 長榮,2019-01-22,11.937,11.9866,11.8875,11.9866,3343,40318,1110,4512973,0,0.81,0.004155147859596203,漲
15,2603 長榮,2019-01-23,11.937,11.937,11.7884,11.7884,3732,44653,1151,4512973,0,0.8,-0.016535130896167382,跌
16,2603 長榮,2019-01-24,11.8875,11.937,11.838,11.8875,2575,30883,917,4512973,0,0.81,0.008406569169692237,漲
17,2603 長榮,2019-01-25,11.8875,11.9866,11.8875,11.937,3361,40501,1251,4512973,0,0.81,0.004164037854889598,漲
18,2603 長榮,2019-01-28,11.937,11.9866,11.8875,11.937,3776,45489,1192,4512973,0,0.81,0.0,跌
19,2603 長榮,2019-01-29,11.8875,11.9866,11.8875,11.937,4764,57363,1333,4512973,0,0.81,0.0,跌
20,2603 長榮,2019-01-30,11.937,11.9866,11.838,11.838,6697,80400,1812,4512973,0,0.8,-0.00829354109072633,跌
21,2603 長榮,2019-02-11,11.838,11.937,11.7884,11.838,8802,105354,2305,4512973,0,0.8,0.0,跌
22,2603 長榮,2019-02-12,11.838,11.8875,11.7389,11.7884,7374,87909,2513,4512973,0,0.8,-0.004189896942051011,跌
23,2603 長榮,2019-02-13,11.838,11.8875,11.6894,11.7389,7747,91725,2099,4512973,0,0.8,-0.004199043127141945,跌
24,2603 長榮,2019-02-14,11.7389,11.8875,11.6894,11.7884,10820,128487,2477,4512973,0,0.8,0.004216749439896422,漲
25,2603 長榮,2019-02-15,11.838,11.8875,11.7389,11.7389,11646,138910,2854,4512973,0,0.8,-0.004199043127141945,跌
26,2603 長榮,2019-02-18,11.7884,11.838,11.7389,11.7389,5582,66379,1860,4512973,0,0.8,0.0,跌
27,2603 長榮,2019-02-19,11.7884,11.8875,11.7884,11.7884,6511,77602,1628,4512973,0,0.8,0.004216749439896422,漲
28,2603 長榮,2019-02-20,11.838,11.8875,11.7884,11.8875,10351,123829,1717,4512973,0,0.81,0.008406569169692237,漲
29,2603 長榮,2019-02-21,11.8875,12.1847,11.8875,12.1352,19105,232749,3628,4512973,0,0.82,0.020837013669821245,漲
30,2603 長榮,2019-02-22,12.0856,12.1352,11.9866,12.0361,8730,106076,2429,4512973,0,0.82,-0.008166326059727072,跌
31,2603 長榮,2019-02-25,12.0361,12.2342,12.0361,12.1352,15436,189612,4019,4512973,0,0.82,0.008233564028215117,漲
32,2603 長榮,2019-02-26,12.1847,12.4819,12.1847,12.3828,19106,238380,3890,4512973,0,0.84,0.02040345441360672,漲
33,2603 長榮,2019-02-27,12.4323,12.5314,12.2837,12.3333,21696,271806,4511,4512973,0,0.84,-0.003997480376005435,跌
